"Name","Runtime","Notes","Tags","dropout","hidden_dim1","hidden_dim2","learning_rate","best_macro_f1","epoch","test/accuracy","test/loss","test/macro_f1","train/accuracy","train/loss","train/macro_f1"
"pretty-sweep-25","36","-","","0.39300914074874066","32","64","0.0008063646203693059","0.5732351054180217","9","0.5904255319148937","0.9098325669765472","0.5732351054180217","0.5656016315431679","0.9237470536128336","0.5463862452114164"
"sandy-sweep-24","34","-","","0.49266705013254986","32","32","0.000889760106908495","0.5972029355149978","8","0.6196808510638298","0.9064019620418547","0.5972029355149978","0.548606390210741","0.942197412252426","0.5354900529492951"
"breezy-sweep-23","26","-","","0.3644143074358771","64","32","0.0006952679214187996","0.5896494637873949","5","0.6063829787234043","0.9189908852179846","0.5896494637873949","0.5560842963970088","0.9528112981630408","0.5395488203026294"
"worthy-sweep-22","30","-","","0.36041332485874056","64","32","0.0007048335288116234","0.5906735421441304","10","0.6037234042553191","0.890776331226031","0.5906735421441304","0.5989123045547247","0.8877502031948256","0.5903095214862003"
"devoted-sweep-21","33","-","","0.37603070016289986","128","32","0.0007256885685676604","0.555584997391163","7","0.574468085106383","0.9073229630788168","0.555584997391163","0.6050305914343984","0.8948894674363344","0.5949087159491278"
"light-sweep-20","27","-","","0.36134441539413303","64","32","0.0006927844467215685","0.5906735421441304","10","0.6037234042553191","0.8917499134937922","0.5906735421441304","0.5968728755948335","0.8894053127454675","0.5882602989989051"
"laced-sweep-19","38","-","","0.387028650767443","64","32","0.0006314561655981972","0.5909293412020734","10","0.6037234042553191","0.8954120030005773","0.5909293412020734","0.5955132562882393","0.9006573454193447","0.5869379668633581"
"silver-sweep-18","27","-","","0.3978541953005494","64","32","0.0006381369087650622","0.5931271935670176","10","0.6063829787234043","0.8960763613382975","0.5931271935670176","0.5914343983684568","0.9039145721041638","0.5818128787334459"
"ruby-sweep-17","39","-","","0.3949759671967549","64","32","0.0006962726888325242","0.5876739616140407","10","0.601063829787234","0.8930913557608923","0.5876739616140407","0.600951733514616","0.896435242632161","0.5932811963130611"
"major-sweep-16","25","-","","0.4087858079780955","64","64","0.0006650178590486923","0.5529439349934386","5","0.5691489361702128","0.9168054411808648","0.5529439349934386","0.5649218218898708","0.9464070382325546","0.5526426427053163"
"dazzling-sweep-15","33","-","","0.37437381819932736","64","32","0.0006529601643388562","0.589869899879734","10","0.6037234042553191","0.8938485185305277","0.589869899879734","0.5968728755948335","0.897262279106223","0.5876162164820062"
"dandy-sweep-14","46","-","","0.38710153355559185","64","32","0.000635695578880541","0.5931271935670176","10","0.6063829787234043","0.8952307452758154","0.5931271935670176","0.592114208021754","0.9002363137576891","0.5832407081854493"
"swift-sweep-13","29","-","","0.36333577723202976","64","32","0.0007162602554192062","0.5959218095840487","10","0.6090425531914894","0.8911030689875284","0.5959218095840487","0.5989123045547247","0.8878011768278868","0.5898864918560583"
"legendary-sweep-12","26","-","","0.33126752915832813","64","32","0.0007486664935955778","0.5871339821527196","6","0.6063829787234043","0.9030766288439432","0.5871339821527196","0.5764785859959212","0.9221055391042128","0.5611094983602749"
"devout-sweep-11","19","-","","0.3425246030181773","64","64","0.0006993096582789414","0.5676591786795828","3","0.5824468085106383","0.9410732189814248","0.5676591786795828","0.5356900067980965","0.97776911051377","0.5228432875088682"
"lemon-sweep-10","28","-","","0.3616579081382627","64","32","0.00075515360530962","0.5862509675342067","5","0.601063829787234","0.914485494295756","0.5862509675342067","0.5601631543167913","0.9455105558685636","0.544331239743957"
"dandy-sweep-9","32","-","","0.35966351496824767","64","32","0.000731829912560921","0.5907116733107911","10","0.6037234042553191","0.8903949956099192","0.5907116733107911","0.6029911624745071","0.8847233510535696","0.5945832022823883"
"vibrant-sweep-8","26","-","","0.31972324172306776","64","32","0.0007903165920608394","0.5932312465844677","6","0.6117021276595744","0.899994413057963","0.5932312465844677","0.5764785859959212","0.916455934876981","0.561628326350453"
"fragrant-sweep-7","29","-","","0.30292268482478296","64","32","0.0008029850533120753","0.5853230986988948","6","0.6037234042553191","0.8977094441652298","0.5853230986988948","0.5785180149558123","0.912180209937303","0.5625101723694607"
"electric-sweep-6","30","-","","0.32180919419580134","64","32","0.0008701932639066238","0.5835812203891421","6","0.6037234042553191","0.8963646243015925","0.5835812203891421","0.5812372535690007","0.9093818262867306","0.566204775186438"
"playful-sweep-5","22","-","","0.31357035194694916","64","32","0.000733132819371936","0.5863982397511652","6","0.6037234042553191","0.9036615838607152","0.5863982397511652","0.5737593473827328","0.921994826068049","0.5587154517776346"
"smooth-sweep-4","29","-","","0.3135590965357397","64","32","0.00079902711613458","0.5898058190306914","6","0.6090425531914894","0.8997286210457484","0.5898058190306914","0.5778382053025153","0.9150470987610196","0.5618417412597222"
"happy-sweep-3","37","-","","0.401614773760831","64","64","0.0009593197101632904","0.5738350013508019","11","0.5824468085106383","0.8936551163593928","0.5738350013508019","0.5955132562882393","0.8689452319041543","0.5887754279322776"
"stellar-sweep-2","27","-","","0.39112721903574565","128","32","0.0009208783971326284","0.5602038047486633","13","0.5585106382978723","0.9157636513312658","0.5602038047486633","0.628823929299796","0.8137170452138652","0.62605684125537"
"electric-sweep-1","40","-","","0.3201651787974209","32","16","0.0008258860256294844","0.5876716513706185","13","0.598404255319149","0.9025443295637766","0.5876716513706185","0.5696804894629504","0.9013445571712826","0.5528364670155715"
